"location_name","competitor_count","foot_traffic_composite","competitor_density","foot_traffic_level","site_recommendation"
"Vikhroli",4,16,"Virgin Territory","Low Foot Traffic","Further Analysis Needed"
"Goregaon",7,28,"Low Competition","Low Foot Traffic","Further Analysis Needed"
"Marine Lines",9,36,"Low Competition","Low Foot Traffic","Further Analysis Needed"
"Andheri West",13,52,"Low Competition","Low Foot Traffic","Further Analysis Needed"
"Sion",19,76,"Moderately Competitive","Low Foot Traffic","Further Analysis Needed"
"Dadar",22,88,"Moderately Competitive","Low Foot Traffic","Further Analysis Needed"
"Navi Mumbai (Vashi)",28,112,"Highly Competitive","Medium Foot Traffic","Avoid"
"Bandra Kurla Complex",29,116,"Highly Competitive","Medium Foot Traffic","Avoid"
"Kandivali",32,128,"Highly Competitive","Medium Foot Traffic","Avoid"
"Powai",33,132,"Highly Competitive","Medium Foot Traffic","Avoid"
"Ghatkopar",34,136,"Highly Competitive","Medium Foot Traffic","Avoid"
"Colaba",36,144,"Extremely Saturated","Medium Foot Traffic","Avoid"
"Matunga",36,144,"Extremely Saturated","Medium Foot Traffic","Avoid"
"Malad",39,156,"Extremely Saturated","High Foot Traffic","Avoid"
"Andheri East",40,160,"Extremely Saturated","High Foot Traffic","Avoid"
"Versova",48,192,"Extremely Saturated","High Foot Traffic","Avoid"
"Churchgate",50,200,"Extremely Saturated","High Foot Traffic","Avoid"
"Fort",50,200,"Extremely Saturated","High Foot Traffic","Avoid"
"Juhu",50,200,"Extremely Saturated","High Foot Traffic","Avoid"
"Bandra West",50,200,"Extremely Saturated","High Foot Traffic","Avoid"
"Lower Parel",50,200,"Extremely Saturated","High Foot Traffic","Avoid"
