"location_name","location_score","foot_traffic_score","competitor_count","market_gap_ratio","recommendation"
"Bandra West",170.00,250,50,4.90,"High Potential"
"Fort",170.00,250,50,4.90,"High Potential"
"Churchgate",170.00,250,50,4.90,"High Potential"
"Juhu",170.00,250,50,4.90,"High Potential"
"Lower Parel",170.00,250,50,4.90,"High Potential"
"Versova",163.20,240,48,4.90,"High Potential"
"Andheri East",136.00,200,40,4.88,"High Potential"
"Malad",132.60,195,39,4.88,"High Potential"
"Colaba",122.40,180,36,4.86,"High Potential"
"Matunga",122.40,180,36,4.86,"High Potential"
"Ghatkopar",115.60,170,34,4.86,"High Potential"
"Powai",112.20,165,33,4.85,"High Potential"
"Kandivali",108.80,160,32,4.85,"High Potential"
"Bandra Kurla Complex",98.60,145,29,4.83,"High Potential"
"Navi Mumbai (Vashi)",95.20,140,28,4.83,"High Potential"
"Dadar",74.80,110,22,4.78,"High Potential"
"Sion",64.60,95,19,4.75,"High Potential"
"Andheri West",44.20,65,13,4.64,"Medium Potential"
"Marine Lines",30.60,45,9,4.50,"Medium Potential"
"Goregaon",23.80,35,7,4.38,"Low Potential"
"Vikhroli",13.60,20,4,4.00,"Low Potential"
